Date,Description,Amount,Type
2026-03-01,Salary - March,55000,income
2026-03-02,Uber Ride to Office,350,expense
2026-03-03,Pathao Food - Lunch,280,expense
2026-03-04,Electricity Bill - March,1800,expense
2026-03-05,Grocery - Shwapno,2450,expense
2026-03-06,Netflix Subscription,550,expense
2026-03-07,Freelance Payment,12000,income
2026-03-08,Tea & Snacks,120,expense
2026-03-09,Mobile Recharge - GP,500,expense
2026-03-10,Restaurant - Dinner with friends,1600,expense
2026-03-12,Medical Checkup,2000,expense
2026-03-13,Book - Clean Code,850,expense
2026-03-15,Internet Bill - BTCL,1200,expense
2026-03-16,Gym Membership,1500,expense
2026-03-17,Grocery - Agora,1850,expense
2026-03-18,Spotify Subscription,450,expense
2026-03-20,Clothing - Aarong,3200,expense
2026-03-21,Gas Bill,600,expense
2026-03-22,Uber Ride,280,expense
2026-03-23,Coffee - Barista,350,expense
2026-03-25,Freelance Bonus,8000,income
2026-03-26,Lunch - Office Canteen,220,expense
2026-03-27,Water Bill,400,expense
2026-03-28,Grocery - Meena Bazar,3100,expense
2026-03-29,Movie Ticket - Star Cineplex,700,expense
2026-03-30,Savings Transfer,10000,transfer
2026-03-31,Rent Payment,15000,expense
